student-id,e-score,a-score,c-score,rel-1,rel-2,rel-3,rel-4,rel-5
1,22,50,1,6,5,0,9,2
2,25,18,28,1,1,8,5,1
3,12,43,68,2,7,2,5,7
4,28,76,21,3,10,4,3,7
5,34,27,51,7,5,1,10,6
6,23,63,88,0,10,4,5,4
7,11,36,99,8,2,1,4,4
8,16,66,62,7,9,4,4,7
9,13,93,46,6,8,8,5,6
10,36,80,59,10,7,9,0,7
11,31,84,5,2,3,8,5,10
12,30,5,50,6,7,8,9,6
13,36,48,86,6,3,10,8,4
14,33,87,92,2,8,8,8,2
15,15,27,54,6,6,4,1,10
16,24,50,93,10,6,9,2,8
17,32,11,1,1,3,1,9,4
18,26,22,25,2,2,3,0,4
19,32,45,33,7,5,8,4,9
20,11,45,74,8,0,10,1,9
21,19,15,19,3,5,3,9,8
22,10,87,33,10,4,4,6,9
23,28,91,6,5,6,7,3,8
24,24,31,38,2,4,4,6,1
25,35,56,6,5,7,8,8,0
26,29,100,94,8,8,4,3,9
27,33,18,71,10,5,7,7,7
28,17,57,9,8,2,7,9,3
29,22,37,90,3,4,10,2,3
30,13,70,94,7,7,6,7,6
31,23,94,65,9,7,4,5,6
32,25,73,87,10,7,9,9,4
33,34,11,48,8,7,6,7,9
34,23,68,84,10,7,6,3,2
35,27,79,98,6,1,4,1,7
36,10,83,19,8,9,9,7,6
37,24,88,60,0,8,8,2,9
38,35,10,41,9,0,1,2,1
39,38,33,41,0,8,7,5,7
40,26,65,54,9,6,2,5,3
41,33,22,81,6,9,5,1,0
42,37,36,5,1,10,9,8,9
43,37,5,87,3,9,4,9,10
44,14,33,11,9,10,5,8,3
45,12,40,68,9,6,1,8,5
46,11,21,85,8,8,4,2,4
47,14,1,91,2,2,1,0,4
48,33,76,63,6,3,1,10,1
49,33,57,100,3,7,8,5,6
50,40,94,13,1,5,1,6,0
51,15,22,87,9,1,9,8,1
52,30,27,48,4,6,4,7,4
53,13,14,60,1,3,0,5,8
54,39,88,77,8,2,7,7,3
55,29,52,23,1,4,4,4,1
56,37,8,4,6,9,7,8,5
57,33,40,45,5,0,9,7,1
58,29,73,73,3,4,9,0,9
59,14,93,52,10,2,5,7,3
60,21,76,33,0,0,1,1,5
61,23,47,50,3,5,5,8,9
62,27,17,49,3,5,4,7,4
63,38,96,23,2,1,8,2,1
64,13,50,94,2,1,0,9,6
65,16,28,75,2,5,0,7,7
66,25,56,35,5,8,5,3,7
67,38,27,26,6,9,9,5,8
68,38,79,3,8,5,9,6,0
69,36,58,30,8,7,0,6,9
70,33,27,98,2,4,7,9,6
71,32,76,50,8,7,4,3,10
72,37,69,17,4,8,0,3,6
73,20,19,29,1,3,3,3,5
74,40,3,6,5,8,1,7,9
75,39,42,12,1,6,6,2,4
76,13,82,69,9,9,3,10,0
77,25,1,3,7,0,10,2,8
78,16,3,72,8,2,3,2,5
79,25,16,73,6,4,5,7,8
80,25,17,80,0,8,1,8,2
81,23,92,79,3,2,6,1,10
82,38,74,24,9,4,0,3,10
83,35,62,11,4,1,10,6,3
84,37,50,9,10,10,6,9,0
85,19,51,86,4,3,2,5,3
86,16,57,65,5,8,0,9,7
87,26,66,82,4,1,0,5,7
88,27,97,79,7,9,8,0,1
89,30,91,53,3,9,5,4,8
90,30,50,30,8,7,1,3,9
91,27,0,59,3,8,10,6,4
92,25,45,58,2,8,7,2,6
93,22,88,76,10,2,0,10,4
94,37,6,52,4,5,9,7,2
95,11,12,13,0,6,8,7,9
96,39,88,91,9,8,9,9,7
97,14,5,22,8,1,3,4,4
98,13,99,4,0,10,1,1,10
99,40,54,22,0,10,3,0,6
100,34,75,57,5,9,2,5,3
101,15,33,52,2,7,2,8,8
102,12,92,63,6,3,1,5,4
103,23,89,41,2,10,0,8,1
104,26,96,85,2,2,7,0,10
105,24,46,27,7,1,4,8,9
106,32,61,0,7,2,7,6,5
107,27,50,85,3,1,0,1,10
108,14,86,62,5,3,6,8,3
109,25,33,36,2,7,6,2,7
110,17,96,38,6,3,6,1,9
111,25,8,38,2,3,3,2,0
