student-id,efficacy-score,agreeableness-score,conscientiousness-score,relevant-course-1-number,relevant-course-2-number,relevant-course-3-number,relevant-course-4-number,relevant-course-5-number
1,27,6,78,5,10,0,6,9
2,19,57,13,4,7,10,9,3
3,13,100,20,9,2,0,7,4
4,21,32,50,0,1,8,3,5
5,40,94,56,3,2,3,10,4
6,25,1,24,9,0,0,7,9
7,31,57,33,7,3,1,10,3
8,36,99,0,10,4,4,1,7
9,16,11,75,2,9,8,9,5
10,28,47,9,7,1,0,7,6
11,21,80,5,10,2,8,3,0
12,20,51,49,3,0,4,9,5
13,26,79,48,0,9,1,7,2
14,19,24,17,6,1,4,6,5
15,38,74,100,5,1,8,0,2
16,12,50,68,1,6,9,8,5
17,37,89,69,8,1,6,5,9
18,34,68,80,5,6,1,0,0
19,15,15,53,1,6,7,2,10
20,26,53,21,8,1,2,4,5
21,34,15,28,3,1,5,1,5
22,35,100,83,9,0,0,10,0
23,14,48,41,6,0,6,7,4
24,12,47,28,6,6,10,7,6
25,30,15,75,0,5,8,9,7
26,35,97,15,10,9,3,3,8
27,36,54,9,3,3,0,4,1
28,33,77,87,6,2,4,4,7
29,23,13,37,9,0,2,1,6
30,33,13,80,9,0,8,7,4
31,23,35,84,5,1,5,3,6
32,25,36,96,10,4,5,6,2
33,36,78,65,9,10,7,5,6
34,15,88,1,1,0,6,4,8
35,21,61,61,3,4,8,10,4
36,35,42,51,5,8,3,10,2
37,39,42,84,3,0,2,1,9
38,28,92,64,8,3,5,6,6
39,19,6,59,10,2,5,7,5
40,24,14,28,6,2,10,1,4
