student-id,efficacy-score,agreeableness-score,conscientiousness-score
1,16,18,9
2,14,32,41
3,28,39,10
4,36,21,33
5,26,13,36
6,18,20,45
7,28,15,27
8,30,16,18
9,32,19,34
10,15,44,30
11,14,32,32
12,18,14,39
13,10,27,25
14,16,24,29
15,23,41,39
16,29,32,9
17,31,15,39
18,25,39,37
19,30,20,38
20,36,40,35
21,38,15,23
22,36,42,37
23,18,42,11
24,29,19,35
25,31,29,14
26,18,44,26
27,20,43,10
28,11,38,44
29,12,33,33
30,11,12,28
31,23,18,40
32,16,43,42
33,22,40,13
34,20,23,36
35,17,36,15
36,24,42,42
37,28,21,45
38,23,12,41
39,26,12,28
40,14,13,27
41,38,29,11
42,32,9,10
43,16,10,28
44,21,14,38
45,17,12,35
46,13,13,33
47,34,17,41
48,40,42,13
49,40,26,28
50,29,20,26
51,35,44,37
52,40,18,34
53,22,21,22
54,32,23,41
55,31,26,40
56,12,36,17
57,36,35,28
58,17,40,23
59,34,11,39
60,22,39,20
61,16,18,29
62,24,14,11
63,11,31,36
64,29,44,28
65,15,26,17
66,39,17,38
67,23,29,40
68,12,44,19
69,14,34,33
70,31,29,38
71,38,18,26
72,30,35,12
73,22,24,27
74,15,31,25
75,23,19,15
76,21,10,37
77,30,34,12
78,33,24,45
79,13,19,27
80,26,32,12
81,24,43,33
82,32,18,10
83,25,24,14
84,33,19,10
85,28,32,43
86,30,39,45
87,33,30,44
88,40,16,43
89,27,23,11
90,23,32,9
91,12,36,29
92,33,41,19
93,38,24,40
94,30,18,34
95,39,45,15
96,14,19,26
97,31,19,29
98,12,40,14
99,10,28,37
100,35,31,18
101,36,14,16
102,36,30,16
103,38,29,21
104,24,28,42
105,19,27,13
106,26,14,43
107,15,23,45
108,23,17,19
109,18,33,14
110,25,37,10
111,20,36,30
112,15,16,34
113,10,14,43
114,31,15,35
115,17,37,40
116,24,36,31
117,15,19,45
118,20,27,15
119,20,18,40
120,20,11,9
121,40,22,33
122,29,31,18
123,30,33,38
124,39,16,20
125,15,33,20
126,20,11,38
127,26,17,23
128,24,12,43
129,34,23,18
130,29,45,15
131,30,42,34
132,35,27,29
133,18,35,22
134,22,28,10
135,38,34,9
136,37,23,26
137,18,35,17
138,11,9,24
139,11,37,33
140,12,17,19
141,27,9,41
142,25,44,15
143,16,27,10
144,32,27,37
145,20,24,31
146,29,23,26
147,27,11,18
148,21,14,29
149,14,39,27
150,20,16,10
151,25,41,24
152,40,38,20
153,39,24,43
154,13,14,36
155,32,22,24
156,11,22,32
157,25,22,11
158,17,9,42
159,19,17,27
160,33,26,39
161,24,19,40
162,28,17,15
163,25,12,42
164,39,43,20
165,12,44,25
166,21,19,39
167,36,32,22
168,39,45,20
169,29,45,18
170,40,41,9
171,27,10,41
172,35,25,40
173,23,21,38
174,39,44,19
175,27,13,18
176,26,29,35
177,15,16,17
178,13,27,18
179,27,41,28
180,24,31,38
181,32,36,40
182,28,23,33
183,18,25,9
184,12,26,38
185,20,45,25
186,19,40,26
187,38,45,9
188,37,10,27
189,35,20,18
190,32,13,39
191,16,12,39
192,30,9,33
193,19,13,15
194,37,30,25
195,37,38,21
196,21,36,26
197,38,35,15
198,11,10,29
199,17,45,18
200,12,12,10
