student-id,efficacy-score,agreeableness-score,conscientiousness-score,reading-score
1,37,19,43,33
2,11,34,23,42
3,34,18,18,23
4,25,36,11,36
5,33,26,20,31
6,14,23,23,22
7,21,29,36,41
8,30,19,36,25
9,24,36,25,12
10,12,21,42,7
11,36,14,15,38
12,35,9,42,1
13,33,24,20,31
14,40,31,10,10
15,29,40,35,49
16,12,10,11,33
17,37,22,13,40
18,18,29,43,12
19,14,30,19,47
20,14,13,42,22
21,34,10,42,40
22,13,43,28,33
23,22,15,22,29
24,10,44,36,32
25,35,44,25,26
26,24,26,40,8
27,12,34,41,24
28,29,39,36,47
29,26,38,14,18
30,24,44,28,8
31,29,42,31,47
32,26,34,26,37
33,12,36,38,50
34,35,35,17,49
35,40,10,37,18
36,31,15,38,26
37,36,20,13,19
38,37,41,18,25
39,17,25,16,14
40,31,38,28,12
